complaint_id,txn_id,txn_id_missing,user_id,merchant_id,transaction_timestamp,reported_timestamp,bank_response_timestamp,reporting_delay_days,bank_response_delay_days,impossible_reporting_delay,disputed_amount,disputed_amount_missing,reason_code_bucket,reason_code,complaint_text,resolution_status,severity,channel,transaction_date,reported_date,bank_response_date,txn_id_missing_flag,user_id_missing_flag,merchant_id_missing_flag,disputed_amount_missing_flag,has_long_reporting_delay,has_long_bank_response_delay,invalid_reporting_delay,invalid_bank_response_delay,user_found_in_kyc,merchant_found_in_master,transaction_found,user_id_unmatched,merchant_id_unmatched,txn_id_unmatched
CB0000276,TXN00000311,False,USR38155,MER3734,2026-01-30 00:00:00,2026-02-04 00:00:00,2026-02-20 00:00:00,5.0,16.0,False,2784.85,False,Duplicate Debit,charged twice,Customer says transaction was not authorized.,Rejected,Medium,Email,2026-01-30,2026-02-04,2026-02-20,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0000350,TXN00005138,False,USR67243,MER3024,2026-03-28 00:00:00,2026-04-03 00:00:00,2026-04-28 00:00:00,6.0,25.0,False,1449.14,False,Duplicate Debit,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,Open,Medium,Branch,2026-03-28,2026-04-03,2026-04-28,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0001941,TXN00003720,False,USR54113,MER3835,2026-02-25 10:24:00,2026-03-05 06:24:15,2026-03-12 06:24:00,7.833506944444444,6.999826388888889,False,414.69,False,Account Takeover / Unauthorized,login compromised,User reports money deducted but merchant denies receiving payment.,In Progress,High,Call Center,2026-02-25,2026-03-05,2026-03-12,False,False,False,False,True,False,False,False,False,True,True,True,False,False
CB0001700,TXN00016401,False,USR72166,MER6133,2026-01-01 00:00:00,2026-01-02 00:00:00,2026-01-06 00:00:00,1.0,4.0,False,5981.0,False,Amount Mismatch,extra amount deducted,Merchant service was not delivered after payment.,Closed,Medium,IVR,2026-01-01,2026-01-02,2026-01-06,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0002398,TXN00004386,False,USR59393,MER4310,2026-02-02 00:00:00,2026-02-04 09:35:06,2026-02-14 00:00:00,2.399375,9.600625,False,2691.36,False,Item/Service Not Delivered,no service,User says UPI PIN was not entered by them.,In Progress,Medium,IVR,2026-02-02,2026-02-04,2026-02-14,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0002562,TXN00001105,False,USR90598,MER5860,2026-01-13 00:00:00,2026-01-23 00:00:00,2026-02-10 22:59:43,10.0,18.958136574074075,False,310.15,False,Other/Unclassified,UNAUTHORISED,Payment made to unknown merchant as per customer statement. call dropped,Open,Low,IVR,2026-01-13,2026-01-23,2026-02-10,False,False,False,False,True,True,False,False,False,False,True,True,True,False
CB0000109,TXN00003546,False,USR15596,MER1434,2026-03-01 00:00:00,2026-03-03 00:00:00,2026-03-26 00:00:00,2.0,23.0,False,3229.57,False,Duplicate Debit,charged twice,User claims account was compromised before transaction.,Closed,Medium,Call Center,2026-03-01,2026-03-03,2026-03-26,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0000933,TXN00010810,False,USR57890,MER9602,2026-03-15 16:04:00,2026-03-16 20:04:58,2026-04-01 00:00:00,1.167337962962963,15.163217592592591,False,836.2,False,Account Takeover / Unauthorized,login compromised,User says UPI PIN was not entered by them.,Closed,Medium,IVR,2026-03-15,2026-03-16,2026-04-01,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0001425,TXN00007508,False,USR88956,MER6166,2026-01-21 00:00:00,2026-01-22 20:15:00,2026-02-12 00:00:00,1.84375,20.15625,False,696.41,False,Other/Unclassified,fraud,complaint received after multiple failed attempts.,Pending Bank,Low,Chatbot,2026-01-21,2026-01-22,2026-02-12,False,False,False,False,False,True,False,False,True,False,True,False,True,False
CB0000592,TXN00018501,False,USR90616,MER7951,2026-02-23 20:45:37,2026-03-06 07:45:00,2026-03-27 00:00:00,10.457905092592592,20.67708333333333,False,1061.55,False,Duplicate Debit,DUP_DEBIT,customer complaint text unclear due to poor call center notes.,Open,Low,Call Center,2026-02-23,2026-03-06,2026-03-27,False,False,False,False,True,True,False,False,False,True,True,True,False,False
CB0001667,TXN00003837,False,USR73010,MER2586,2026-01-04 00:00:00,2026-01-12 03:14:58,,8.13539351851852,,False,723.24,False,Item/Service Not Delivered,Merchant Not Delivered,User reports money deducted but merchant denies receiving payment.,Open,High,Call Center,2026-01-04,2026-01-12,,False,False,False,False,True,False,False,False,False,False,True,True,True,False
CB0001996,TXN00019262,False,USR61461,MER1598,2026-01-04 00:00:00,,2026-01-25 00:00:00,,,False,385.0,False,Account Takeover / Unauthorized,account hacked,User says UPI PIN was not entered by them.,Open,Low,Chatbot,2026-01-04,,2026-01-25,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0002638,TXN00016536,False,USR21162,MER8425,2026-03-06 13:39:44,2026-03-06 00:00:00,2026-04-01 00:00:00,-0.5692592592592592,26.0,True,406.58,False,Amount Mismatch,extra amount deducted,Customer says amount was debited twice.,Pending Bank,High,Email,2026-03-06,2026-03-06,2026-04-01,False,False,False,False,False,True,True,False,False,True,True,True,False,False
CB0001637,TXN00014399,False,USR56117,MER2434,2026-02-15 14:45:18,2026-02-21 00:00:00,2026-03-05 00:45:18,5.385208333333333,12.031458333333331,False,748.53,False,Account Takeover / Unauthorized,not done by me,User reports money deducted but merchant denies receiving payment. urgent,Pending Bank,High,IVR,2026-02-15,2026-02-21,2026-03-05,False,False,False,False,False,True,False,False,True,False,True,False,True,False
CB0000067,TXN00003314,False,USR37105,MER6003,2026-01-15 00:00:00,2026-01-20 00:00:00,2026-02-10 21:13:32,5.0,21.884398148148147,False,1814.0,False,General Complaint / Dispute,dispute raised,Suspicious high-value payment disputed by cust.,In Progress,Low,Branch,2026-01-15,2026-01-20,2026-02-10,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0002409,TXN00004555,False,USR24591,MER7745,2026-02-09 00:00:00,2026-02-15 00:12:00,2026-02-21 00:00:00,6.008333333333334,5.991666666666666,False,889.98,False,Item/Service Not Delivered,Merchant Not Delivered,Customer says amount was debited twice.,In Progress,Medium,Chatbot,2026-02-09,2026-02-15,2026-02-21,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000361,TXN00012527,False,USR24926,MER7438,2026-02-14 00:00:00,2026-02-16 18:13:57,,2.7596875,,False,2311.0,False,Duplicate Debit,Duplicate Debit,User claims account was compromised before transaction.,Closed,Low,IVR,2026-02-14,2026-02-16,,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000023,TXN00001464,False,USR92751,MER2757,2026-03-14 00:00:00,2026-04-13 00:00:00,2026-04-16 00:00:00,30.0,3.0,False,1112.83,False,Item/Service Not Delivered,Merchant Not Delivered,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,Resolved,Medium,IVR,2026-03-14,2026-04-13,2026-04-16,False,False,False,False,True,False,False,False,False,False,True,True,True,False
CB0002764,TXN00014418,False,USR71468,MER6403,2026-03-03 00:00:00,2026-03-05 00:00:00,,2.0,,False,1393.43,False,Other/Unclassified,Service Not Provided,customer complaint text unclear due to poor call center notes.,Pending Bank,Medium,Email,2026-03-03,2026-03-05,,False,False,False,False,False,False,False,False,True,True,True,False,False,False
