txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,timestamp_time_missing,is_reversal,status_raw,utr_missing,mcc_missing,transaction_date,transaction_year,transaction_quarter,transaction_month_number,transaction_month,transaction_year_month,transaction_day,transaction_day_name,transaction_hour,is_weekend,amount_missing,user_id_missing,merchant_id_missing,txn_id_missing,normalized_status,status_group,is_success,is_failed,is_pending,is_initiated,is_unknown_status,is_reversal_flag,user_found_in_kyc,merchant_found_in_master,user_id_unmatched,merchant_id_unmatched,merchant_category_missing_or_unmatched
TXN00011869,2026-01-15 00:11:30,USR45826,MER7045,15722.34,UTR6498104698,5411.0,SUCCESS,False,False,COMPLETED,False,False,2026-01-15,2026,Q1,1,January,2026-01,15,Thursday,0,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00010383,2026-01-17 20:09:44,USR79397,MER5031,6362.9,UTR7656190355,4131.0,FAILED,False,False,TXN_FAILED,False,False,2026-01-17,2026,Q1,1,January,2026-01,17,Saturday,20,True,False,False,False,False,FAILED,Failed,False,True,False,False,False,False,True,False,False,True,True
TXN00008297,2026-01-23 14:10:16,USR87810,MER9809,15446.19,UTR9037001889,5411.0,SUCCESS,False,False,S,False,False,2026-01-23,2026,Q1,1,January,2026-01,23,Friday,14,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00006448,2026-02-02 20:17:51,USR54287,MER6928,12110.49,UTR5257823698,5411.0,SUCCESS,False,False,S,False,False,2026-02-02,2026,Q1,2,February,2026-02,2,Monday,20,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00018792,2026-03-31 14:02:37,USR53865,MER8121,19432.94,UTR4204272894,4131.0,SUCCESS,False,False,TXN_SUCCESS,False,False,2026-03-31,2026,Q1,3,March,2026-03,31,Tuesday,14,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00000400,2026-02-11 01:40:43,USR90546,MER6773,18866.03,UTR2080442730,5812.0,SUCCESS,False,False,SUCCESS,False,False,2026-02-11,2026,Q1,2,February,2026-02,11,Wednesday,1,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,True,True,False,False,False
TXN00015249,2026-03-10 21:27:31,USR18691,MER7856,19982.69,UTR5471158093,5411.0,SUCCESS,False,False,COMPLETED,False,False,2026-03-10,2026,Q1,3,March,2026-03,10,Tuesday,21,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,True,True,False,False,False
TXN00007121,2026-02-25 00:53:02,USR16629,MER7753,22687.5,UTR3330570580,5411.0,SUCCESS,False,False,COMPLETED,False,False,2026-02-25,2026,Q1,2,February,2026-02,25,Wednesday,0,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00008460,2026-02-07 09:53:11,USR20899,MER9111,8256.07,UTR6505850115,5411.0,SUCCESS,False,False,S,False,False,2026-02-07,2026,Q1,2,February,2026-02,7,Saturday,9,True,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,True,True,False,False,False
TXN00002541,2026-03-30 09:37:49,USR51755,MER2949,16466.93,UTR2787678319,5411.0,FAILED,False,False,FAILED,False,False,2026-03-30,2026,Q1,3,March,2026-03,30,Monday,9,False,False,False,False,False,FAILED,Failed,False,True,False,False,False,False,False,True,True,False,False
TXN00003797,2026-03-14 12:21:17,USR81003,MER5292,13312.0,UTR2464640119,7011.0,SUCCESS,False,False,Success,False,False,2026-03-14,2026,Q1,3,March,2026-03,14,Saturday,12,True,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00000092,2026-01-27 23:43:31,USR70687,MER4523,17833.99,UTR5315091377,5411.0,SUCCESS,False,False,SUCCESS,False,False,2026-01-27,2026,Q1,1,January,2026-01,27,Tuesday,23,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,True,False,False,True,True
TXN00004622,2026-03-11 01:40:12,USR37834,MER5213,19118.63,UTR1692756805,5812.0,SUCCESS,False,False,SUCCESS,False,False,2026-03-11,2026,Q1,3,March,2026-03,11,Wednesday,1,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,True,True,False,False
TXN00001542,2026-02-21 01:33:17,USR78386,MER4890,2680.85,UTR3430344329,5912.0,SUCCESS,False,False,Success,False,False,2026-02-21,2026,Q1,2,February,2026-02,21,Saturday,1,True,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00002592,2026-02-21 05:47:48,USR21114,MER9819,20100.92,UTR3572682179,,INITIATED,False,False,Initiated,False,True,2026-02-21,2026,Q1,2,February,2026-02,21,Saturday,5,True,False,False,False,False,INITIATED,Initiated,False,False,False,True,False,False,False,False,True,True,True
TXN00017665,2026-01-21 15:06:13,USR96222,MER6009,16257.95,UTR4021669116,5411.0,PENDING,False,False,Pending,False,False,2026-01-21,2026,Q1,1,January,2026-01,21,Wednesday,15,False,False,False,False,False,PENDING,Pending,False,False,True,False,False,False,False,True,True,False,False
TXN00002012,2026-03-06 13:48:49,USR13976,MER8222,1575.7,UTR0496925866,5411.0,SUCCESS,False,False,TXN_SUCCESS,False,False,2026-03-06,2026,Q1,3,March,2026-03,6,Friday,13,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,False,True,True,True
TXN00015655,2026-01-09 05:05:51,USR55935,MER8480,18230.29,UTR6094940155,5812.0,SUCCESS,False,False,TXN_SUCCESS,False,False,2026-01-09,2026,Q1,1,January,2026-01,9,Friday,5,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,True,True,False,False
TXN00011091,2026-03-03 19:17:39,USR13890,MER8216,-23820.57,UTR6527062794,4131.0,SUCCESS,False,True,COMPLETED,False,False,2026-03-03,2026,Q1,3,March,2026-03,3,Tuesday,19,False,False,False,False,False,SUCCESS,Success,True,False,False,False,False,True,False,False,True,True,True
TXN00008584,2026-01-17 18:53:31,USR15778,MER3250,5546.0,UTR0928079796,5912.0,SUCCESS,False,False,Success,False,False,2026-01-17,2026,Q1,1,January,2026-01,17,Saturday,18,True,False,False,False,False,SUCCESS,Success,True,False,False,False,False,False,False,True,True,False,False
