user_id,original_kyc_records,kyc_conflict_records,max_conflict_count,any_identity_conflict,missing_pan,missing_aadhaar,missing_city,missing_state,missing_income,missing_occupation,missing_dob,has_duplicate_kyc_records,extra_kyc_records
USR10001,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10007,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10010,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10013,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10014,1,0,0,0,0,1,0,0,0,0,1,False,0
USR10015,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10020,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10022,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10024,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10027,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10030,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10031,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10043,2,2,10,1,0,0,0,0,0,0,0,True,1
USR10045,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10046,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10047,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10048,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10049,2,2,6,1,1,0,0,0,0,0,0,True,1
USR10052,2,2,8,1,1,0,0,0,0,0,0,True,1
USR10054,1,0,0,0,1,0,0,0,1,0,0,False,0
USR10057,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10059,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10064,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10066,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10069,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10070,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10078,1,0,0,0,0,0,0,0,1,0,1,False,0
USR10085,1,0,0,0,0,0,0,0,1,0,1,False,0
USR10086,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10088,2,2,1,1,0,0,0,0,0,0,0,True,1
USR10090,1,0,0,0,0,1,0,0,0,0,1,False,0
USR10093,1,0,0,0,1,0,0,0,1,0,0,False,0
USR10095,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10096,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10097,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10098,1,1,1,1,1,0,0,0,1,0,0,False,0
USR10100,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10101,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10106,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10107,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10108,1,0,0,0,1,0,0,0,0,0,1,False,0
USR10114,1,0,0,0,1,1,0,0,0,0,0,False,0
USR10115,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10123,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10126,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10129,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10130,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10131,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10133,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10143,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10155,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10157,2,0,0,0,0,2,0,0,1,0,0,True,1
USR10161,1,0,0,0,1,0,0,0,0,0,1,False,0
USR10165,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10166,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10168,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10171,2,2,9,1,1,0,0,0,0,0,0,True,1
USR10174,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10176,1,0,0,0,1,1,0,0,0,0,0,False,0
USR10182,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10185,1,0,0,0,1,0,0,0,0,0,0,False,0
USR10188,3,3,9,1,0,3,0,0,0,0,0,True,2
USR10192,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10194,2,2,7,1,1,2,0,0,1,0,0,True,1
USR10195,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10200,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10202,2,2,10,1,0,2,0,0,0,0,0,True,1
USR10203,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10204,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10205,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10207,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10209,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10210,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10213,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10214,2,2,10,1,0,2,0,0,1,0,0,True,1
USR10216,1,0,0,0,1,0,0,0,0,0,1,False,0
USR10218,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10221,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10222,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10223,1,0,0,0,0,0,0,0,1,0,1,False,0
USR10228,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10229,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10232,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10233,2,2,9,1,1,0,0,0,1,0,0,True,1
USR10239,2,0,0,0,0,1,0,0,0,0,0,True,1
USR10241,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10245,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10249,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10257,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10261,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10262,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10264,1,0,0,0,0,1,0,0,0,0,1,False,0
USR10265,1,0,0,0,0,1,0,0,0,0,1,False,0
USR10267,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10272,1,0,0,0,1,0,0,0,1,0,0,False,0
USR10277,2,2,9,1,0,2,0,0,2,0,1,True,1
USR10278,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10285,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10288,3,3,10,1,0,0,0,0,1,0,1,True,2
USR10289,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10290,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10293,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10297,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10298,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10300,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10304,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10306,1,0,0,0,1,0,0,0,1,0,0,False,0
USR10309,1,0,0,0,1,1,0,0,0,0,0,False,0
USR10310,2,0,0,0,0,1,0,0,1,0,0,True,1
USR10312,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10317,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10318,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10326,4,3,9,1,0,3,0,0,4,0,0,True,3
USR10329,2,2,9,1,0,0,0,0,0,0,2,True,1
USR10331,2,2,9,1,1,2,0,0,1,0,0,True,1
USR10335,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10340,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10341,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10342,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10347,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10349,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10351,1,0,0,0,1,1,0,0,0,0,0,False,0
USR10353,1,0,0,0,0,1,0,0,1,0,0,False,0
USR10356,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10357,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10359,2,2,8,1,0,2,0,0,1,0,0,True,1
USR10361,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10363,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10369,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10374,1,0,0,0,0,0,0,0,1,0,0,False,0
USR10376,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10377,1,0,0,0,0,0,0,0,0,0,1,False,0
USR10379,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10382,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10384,3,3,9,1,0,3,0,0,0,0,0,True,2
USR10388,1,0,0,0,0,1,0,0,0,0,0,False,0
USR10392,1,0,0,0,0,0,0,0,0,0,0,False,0
USR10393,1,0,0,0,0,0,0,0,0,0,1,False,0
